;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category
36;Jeep;Compass;2013-08-01;6500.0;Fairer Preis;166000.0;Schaltgetriebe;Diesel;6.6;175.0;163.0;0.0391566265060241;10.889999999999999;2015.46;3238.8;True
37;Volkswagen;Scirocco;2012-04-01;9995.0;Guter Preis;162000.0;Schaltgetriebe;Benzin;;;211.0;0.06169753086419753;;;;True
38;Land Rover;Range Rover Sport;2012-04-01;12500.0;Sehr guter Preis;237310.0;Automatik;Diesel;8.8;233.0;256.0;0.05267371792170578;14.52;2687.28;4312.24;True
39;Volkswagen;Golf;2010-04-01;4390.0;Guter Preis;191610.0;Schaltgetriebe;Benzin;6.4;153.0;122.0;0.022911121548979698;11.328000000000001;2096.52;2831.64;True
40;Audi;A4;2013-02-01;12410.0;Sehr guter Preis;155921.0;Automatik;Diesel;;;177.0;0.07959158804779344;;;;True
41;Toyota;Yaris;2013-11-01;4900.0;Guter Preis;258660.0;Schaltgetriebe;Diesel;4.1;104.0;90.0;0.018943787211010595;6.764999999999999;1252.03;1924.78;True
42;Mercedes-Benz;C 220;2015-03-01;12990.0;Sehr guter Preis;190282.0;Automatik;Diesel;4.3;108.0;170.0;0.0682670983067237;7.095;1313.1;1998.81;True
43;Volkswagen;Sharan;2014-05-01;8399.0;Sehr guter Preis;281493.0;Automatik;Diesel;5.7;149.0;140.0;0.029837331656559843;9.405;1740.63;2757.61;True
44;BMW;118;2012-04-01;4500.0;Fairer Preis;320000.0;Schaltgetriebe;Diesel;4.4;117.0;143.0;0.0140625;7.26;1343.64;2165.37;True
45;Opel;Corsa-e;2014-12-01;8600.0;Sehr guter Preis;36000.0;Automatik;Benzin;4.8;112.0;90.0;0.2388888888888889;8.496;1572.39;2072.84;True
46;Toyota;Avensis;2014-01-01;8600.0;Guter Preis;189392.0;Schaltgetriebe;Diesel;6.2;163.0;150.0;0.045408464982681425;10.23;1893.31;3016.72;True
47;Audi;A8;2010-02-01;17900.0;Guter Preis;191300.0;Automatik;Diesel;7.6;201.0;351.0;0.09357030841610037;12.54;2320.83;3720.0;True
48;Hyundai;i10;2014-04-01;6990.0;Guter Preis;86250.0;Schaltgetriebe;Benzin;4.9;116.0;87.0;0.08104347826086956;8.673;1605.15;2146.86;True
49;Renault;Scenic;2015-06-01;5900.0;Guter Preis;227000.0;Schaltgetriebe;Diesel;4.4;117.0;131.0;0.025991189427312777;7.26;1343.64;2165.37;True
50;Renault;Captur;2014-10-01;6990.0;Sehr guter Preis;191000.0;Schaltgetriebe;Diesel;3.6;95.0;90.0;0.03659685863874346;5.9399999999999995;1099.34;1758.21;True
51;Mercedes-Benz;B 200;2012-05-01;7790.0;Guter Preis;240000.0;Automatik;Diesel;4.4;117.0;136.0;0.03245833333333333;7.26;1343.64;2165.37;True
52;BMW;218;2016-02-01;7850.0;Guter Preis;309000.0;Automatik;Diesel;4.1;109.0;150.0;0.02540453074433657;6.764999999999999;1252.03;2017.31;True
53;SEAT;Ibiza;2011-09-01;6890.0;Sehr guter Preis;49526.0;Schaltgetriebe;Benzin;5.9;139.0;86.0;0.13911884666639746;10.443000000000001;1932.73;2572.54;True
54;Mercedes-Benz;C 180;2012-06-01;9900.0;Sehr guter Preis;162000.0;Automatik;Benzin;5.5;;156.0;0.06111111111111111;9.735;1801.7;;True
55;BMW;116;2010-05-01;4000.0;Sehr guter Preis;190000.0;Schaltgetriebe;Diesel;5.2;139.0;116.0;0.021052631578947368;8.58;1587.94;2572.54;True
56;Opel;Astra;2014-12-01;4700.0;Guter Preis;194500.0;Schaltgetriebe;Diesel;3.7;;110.0;0.02416452442159383;6.1049999999999995;1129.88;;True
57;Skoda;Octavia;2016-11-01;8500.0;Sehr guter Preis;134400.0;Schaltgetriebe;Diesel;3.9;103.0;90.0;0.06324404761904762;6.435;1190.95;1906.27;True
58;BMW;X1;2013-11-01;9890.0;Fairer Preis;218950.0;Automatik;Diesel;5.5;146.0;184.0;0.04517013016670473;9.075;1679.55;2702.09;True
59;Audi;A4;2018-06-01;13700.0;Sehr guter Preis;129900.0;Automatik;Benzin;5.7;;150.0;0.10546574287913779;10.089;1867.22;;True
60;Audi;A4;2013-10-01;6750.0;Sehr guter Preis;312000.0;Schaltgetriebe;Diesel;4.8;127.0;177.0;0.021634615384615384;7.919999999999999;1465.79;2350.45;True
