brand,model,car_info,user_text,price,price_evaluation,kilometer,gear,date,fuel,power,consumption,co2
Mercedes-Benz,GLA 180,KLIMA+LEDER+NAV+LED+EINPARKHILFE+ALU+TOP,,15890,Fairer Preis,140500,,04/2017,Benzin,122,,
BMW,X1,18d xDrive PDC AHK SHZ Navi Klima 2.Hand,,13999,Ohne Bewertung,110800,,11/2013,Diesel,143,,
Volkswagen,Tiguan,1.5 TSI Join,,20480,Sehr guter Preis,49800,,01/2019,Benzin,131,,
Volkswagen,Tiguan Allspace,COMFORTLINE TDI 150,,23730,Guter Preis,88147,,05/2020,Diesel,150,,
Ford,Kuga,ST-Line Technologie-P.2 AHK Keyfree-P. ACC,,19490,Guter Preis,108742,,03/2018,Benzin,242,,
BMW,X4,xDrive20d xLine*Schiebedach*Head-UP Display,,26980,Sehr guter Preis,115000,,12/2017,Diesel,190,,
Volkswagen,T-Roc,1.5 TSI DSG United LED AHK Standhzg.,,22255,Guter Preis,80950,,10/2020,Benzin,150,,
Volkswagen,Tiguan,Lounge Sport & Style BMT 2.0 TDI 4Motion,,14999,Guter Preis,124000,,02/2016,Diesel,184,,
BMW,X2,"sDrive 20iA M-SPORT X LED NAVI PARKASSIST 19""",,25900,Guter Preis,68500,,06/2019,Benzin,192,,
BMW,X1,sDrive20i Sport*H.UP*SHZ*LED*TEMPOM*GARANTIE*,,25950,Guter Preis,75242,,12/2019,Benzin,192,,
Mercedes-Benz,GLC 43 AMG,4matic LED Pano Headup 360 Cam Comand,,33900,Guter Preis,80000,,10/2016,Benzin,367,,
BMW,X3,xDrive 35d M Sport LED ACC Pano Head-Up AHK,,31990,Fairer Preis,123848,,04/2017,Diesel,313,,
Volkswagen,T-Roc,"R 2.0TSI 4M DSG / Navi, LED, AHK, RFK, ACC",,27290,Fairer Preis,79000,,02/2020,Benzin,300,,
Audi,Q3,2.0 TDI Quattro/AHK/1.Hand/199 € mtl.,,15900,Ohne Bewertung,109000,,03/2013,Diesel,140,,
Volkswagen,Tiguan,2.0 TSI DSG 4MOTION LIFE+1.HAND+Bi-XENON+,,17990,Ohne Bewertung,93769,,10/2013,Benzin,211,,
Mercedes-Benz,GL 350,"BLUETEC, 4 MATIC, EURO 6, Automatik",,21850,Ohne Bewertung,142508,,07/2010,Diesel,211,,
Mercedes-Benz,GLA 200,GLA200 AMG *PANORAMA*KAMERA*COMAND*AUTOMATIK*,,21445,Ohne Bewertung,96200,,07/2014,Benzin,156,,
Volkswagen,T-Roc,"Sport R-LINE/LED/PANORAMA/VIRTUAL/19""ALU",,25988,Fairer Preis,76725,,09/2020,Benzin,150,,
Volkswagen,Tiguan Allspace,1.5 TSI 7 Sitze AHK STHZG PANO,,27740,Guter Preis,87310,,11/2020,Benzin,150,,
Audi,Q5,2.0 TFSI quattro S-Tronic S-Line Kam ACC LED,,34490,Erhöhter Preis,77169,,01/2018,Benzin,252,,
BMW,X6,"xDrive50i M ""GLASDACH-NAVI-CAM-LEDER-SITZH""",,25890,Ohne Bewertung,86000,,07/2013,Benzin,408,,
BMW,X5,xDrive35i F15 PANORAM+HEAD+NAV+360°+HARM&KAD,,22900,Sehr guter Preis,86993,,07/2015,Benzin,306,,
Volkswagen,Tiguan,2.0 TSI Highline R-Line 4Motion LED Navi,,24990,Hoher Preis,99308,,08/2016,Benzin,179,,
Mercedes-Benz,GLA 200,Urban Bi-Xenon Navi Kamera Sitzheizung,,20990,Ohne Bewertung,91355,,03/2015,Benzin,156,,
Volkswagen,Tiguan Allspace,Highline Tiguan L 2.0 HL DT 176T,,31390,Guter Preis,97850,,11/2019,Diesel,239,,
Mercedes-Benz,GLA 200,StreetStyle Navi DSG Leder Glasdach Xeno,,20930,Fairer Preis,94475,,05/2015,Benzin,156,,
Volvo,XC60,T5 AWD Summum /AHK/Schiebedach/Kamera/,,26900,Fairer Preis,85000,,07/2017,Benzin,245,,
Mercedes-Benz,GLE 250,COMAND+LED+PANO+HARMAN+360+AHK+ACC+1.HD+,,31898,Guter Preis,126300,,07/2017,Diesel,204,,
BMW,X4,xDrive*Navi*Shz*Business Paket*Top,,24990,Fairer Preis,107437,,05/2015,Benzin,306,,
Volkswagen,Tiguan,Highline 4Motion*Navi*ACC*LED*Panorama*,,19990,Fairer Preis,100730,,08/2016,Benzin,179,,
Mercedes-Benz,GLK 250,"4M SPORTPAKET 360GRAD,COMAND,SPURPAKET",,26880,Ohne Bewertung,100000,,03/2014,Benzin,211,,
Volkswagen,Tiguan,HIGHLINE 2.0 TSI 4MOTION DSG +SHZ+NAV+AHK,,21490,Erhöhter Preis,99280,,12/2016,Benzin,179,,
Volkswagen,Tiguan,Highline 2.0 TDI DSG 4Motion /OFFROAD/AHK,,28990,Erhöhter Preis,48000,,02/2017,Diesel,190,,
Volkswagen,T-Roc,1.5 TSI DSG SPORT*LED*AHK*DIGITAL*NAVI*KAM,,22899,Guter Preis,58100,,02/2021,Benzin,150,,
Volkswagen,Tiguan,Highline BMT 4M AHK|STHZ|NAVI|KAMERA|ACC|,,23990,Fairer Preis,84100,,09/2016,Benzin,179,,
