;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;log_cleaned_price;log_price_per_km;log_CO2_Emission;log_CO2_per_year;car_age
24;24;Opel;Corsa;2014-10-01;2990.0;153200.0;Schaltgetriebe;Benzin;5.5;130.0;69.0;0.02;9.735;1801.7;2405.97;True;Autoscout24.de;8.003363058629947;0.0198026272961797;4.875197323201151;7.7861239740577055;10.26027397260274
25;25;Audi;A5;2010-07-01;10700.0;120000.0;Schaltgetriebe;Benzin;6.5;152.0;211.0;0.09;11.505;2129.28;2813.13;True;Autoscout24.de;9.278092474027002;0.0861776962410523;5.030437921392435;7.94240843419077;14.515068493150684
26;26;Nissan;X-Trail;2012-08-01;7990.0;241000.0;Schaltgetriebe;Diesel;6.4;170.0;173.0;0.03;10.56;1954.39;3146.27;True;Autoscout24.de;8.986071187374463;0.0295588022415444;5.14166355650266;8.054290689380327;12.427397260273972
27;27;Opel;Insignia;2014-01-01;8999.0;176876.0;Automatik;Diesel;6.4;170.0;194.0;0.05;10.56;1954.39;3146.27;True;Autoscout24.de;9.104979856318357;0.048790164169432;5.14166355650266;8.054290689380327;11.008219178082191
28;28;Volkswagen;CC;2014-04-01;11300.0;211521.0;Automatik;Diesel;5.2;149.0;177.0;0.05;8.58;1587.94;2757.61;True;Autoscout24.de;9.332646496360152;0.048790164169432;5.010635294096256;7.922482208662037;10.761643835616438
29;29;BMW;X3;2012-12-01;9990.0;235000.0;Schaltgetriebe;Diesel;5.6;148.0;184.0;0.04;9.239999999999998;1710.09;2739.1;True;Autoscout24.de;9.20943996673302;0.0392207131532812;5.003946305945459;7.915749695066506;12.093150684931507
30;30;Audi;A4;2013-08-01;9490.0;188000.0;Automatik;Diesel;5.3;140.0;177.0;0.05;8.745;1618.48;2591.04;True;Autoscout24.de;9.158099260130491;0.048790164169432;4.948759890378168;7.860200489451857;11.427397260273972
31;31;Fiat;Scudo;2014-09-01;3800.0;206252.0;Schaltgetriebe;Diesel;5.633815005760712;;128.0;0.02;;;;True;Autoscout24.de;8.24301946898925;0.0198026272961797;;;10.342465753424657
32;32;Audi;A3;2012-03-01;8000.0;115000.0;Schaltgetriebe;Benzin;6.1;145.0;125.0;0.07;10.797;1998.25;2683.58;True;Autoscout24.de;8.987321812850125;0.0676586484738148;4.983606621708336;7.895279570126359;12.846575342465753
33;33;Volkswagen;Passat Variant;2012-07-01;7999.0;198500.0;Automatik;Diesel;5.2;135.0;140.0;0.04;8.58;1587.94;2498.51;True;Autoscout24.de;8.987196820661973;0.0392207131532812;4.912654885736052;7.823849991645782;12.512328767123288
34;34;Seat;Ibiza;2013-12-01;5980.0;167308.0;Schaltgetriebe;Diesel;4.3;112.0;105.0;0.04;7.095;1313.1;2072.84;True;Autoscout24.de;8.696343057044556;0.0392207131532812;4.727387818712341;7.637157240201254;11.093150684931507
35;35;Opel;Insignia;2015-07-01;7200.0;183200.0;Schaltgetriebe;Diesel;6.076366418591995;;170.0;0.04;;;;True;Autoscout24.de;8.881975184248867;0.0392207131532812;;;9.512328767123288
36;36;Hyundai;i10;2011-06-01;2799.0;92366.0;Schaltgetriebe;Benzin;5.0;119.0;67.0;0.03;8.85;1637.91;2202.39;True;Autoscout24.de;7.937374696163295;0.0295588022415444;4.787491742782046;7.697752362455074;13.597260273972603
37;37;Opel;Karl;2016-04-01;5590.0;83000.0;Schaltgetriebe;Benzin;5.912366827229161;;75.0;0.07;;;;True;Autoscout24.de;8.628913441026645;0.0676586484738148;;;8.758904109589041
38;38;Volkswagen;Golf;2015-03-01;8900.0;181971.0;Schaltgetriebe;Diesel;3.8;99.0;110.0;0.05;6.27;1160.42;1832.24;True;Autoscout24.de;9.093918908958932;0.048790164169432;4.605170185988092;7.513840172165632;9.846575342465753
39;39;Volkswagen;Golf;2011-07-01;6700.0;118893.0;Schaltgetriebe;Benzin;5.7;134.0;105.0;0.06;10.089;1867.22;2480.0;True;Autoscout24.de;8.81001204797317;0.0582689081239757;4.90527477843843;7.816416983691801;13.515068493150684
40;40;BMW;320;2012-09-01;10999.0;178000.0;Automatik;Diesel;4.8;;184.0;0.06;7.919999999999999;1465.79;;True;Autoscout24.de;9.305650551780507;0.0582689081239757;;;12.342465753424657
41;41;Dacia;Sandero;2013-06-01;2900.0;144000.0;Schaltgetriebe;Autogas (LPG);6.1;138.0;75.0;0.02;1.3969;258.53;2554.03;True;Autoscout24.de;7.972810784121404;0.0198026272961797;4.934473933130692;7.845819244251847;11.594520547945205
42;42;Ford;Mondeo;2017-05-01;7999.0;115473.0;Automatik;Benzin;6.6;154.0;160.0;0.07;11.682;2162.04;2850.15;True;Autoscout24.de;8.987196820661973;0.0676586484738148;5.043425116919247;7.9554777006468544;7.676712328767123
43;43;Kia;Carens;2013-07-01;7200.0;108590.0;Schaltgetriebe;Benzin;6.8;161.0;135.0;0.07;12.036;2227.56;2979.7;True;Autoscout24.de;8.881975184248867;0.0676586484738148;5.087596335232384;7.999913451243781;11.512328767123288
44;44;Ford;Mondeo;2010-03-01;2300.0;290000.0;Schaltgetriebe;Diesel;5.6;149.0;140.0;0.01;9.239999999999998;1710.09;2757.61;True;Autoscout24.de;7.741099090035366;0.009950330853168;5.010635294096256;7.922482208662037;14.849315068493151
45;45;Ford;EcoSport;2016-05-01;7895.0;95470.0;Schaltgetriebe;Benzin;6.073786650804955;;125.0;0.08;;;;True;Autoscout24.de;8.974111581113318;0.0769610411361283;;;8.676712328767124
46;46;Mercedes-Benz;C 220;2012-11-01;14490.0;155062.0;Automatik;Diesel;4.4;117.0;170.0;0.09;7.26;1343.64;2165.37;True;Autoscout24.de;9.581283046045924;0.0861776962410523;4.770684624465665;7.680808234763876;12.175342465753424
47;47;Volkswagen;Golf;2012-01-01;6599.0;202673.0;Schaltgetriebe;Benzin;6.4;149.0;122.0;0.03;11.328;2096.52;2757.61;True;Autoscout24.de;8.794824928014517;0.0295588022415444;5.010635294096256;7.922482208662037;13.01095890410959
48;48;Ford;Focus;2011-12-01;4999.0;170250.0;Schaltgetriebe;Benzin;5.9;140.0;150.0;0.03;10.443;1932.73;2591.04;True;Autoscout24.de;8.517193191416238;0.0295588022415444;4.948759890378168;7.860200489451857;13.095890410958905
49;49;Volkswagen;up!;2017-06-01;5990.0;92000.0;Schaltgetriebe;Benzin;5.901952690215699;;60.0;0.07;;;;True;Autoscout24.de;8.698013622083925;0.0676586484738148;;;7.5917808219178085
50;50;Opel;Corsa;2014-02-01;5984.0;40000.0;Schaltgetriebe;Benzin;5.3;125.0;86.0;0.15;9.381;1736.18;2313.43;True;Autoscout24.de;8.697011617992073;0.1397619423751587;4.836281906951478;7.7469187159007635;10.923287671232877
