Brand,Model,Kilometers,BuildYear,Transmission,Fuel,Power,l/Km,Emission,CurrentPrice
Ford,Kuga,35.732 km,02/2021,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,24.989
Ford,Puma,22.781 km,08/2021,Manuell,Benzin,147 kW (200 PS),8l/100km,185g CO2/km (komb)*,24.989
Ford,Kuga,29.487 km,07/2021,Automatik,Benzin,140 kW (190 PS),8l/100km,185g CO2/km (komb)*,30.089
Ford,Transit Custom,69.272 km,10/2021,Manuell,Diesel,96 kW (131 PS),7l/100km,186g CO2/km (komb)*,32.189
Ford,Ranger,30.556 km,05/2021,Automatik,Diesel,156 kW (212 PS),7l/100km,186g CO2/km (komb)*,48.389
Volkswagen,Passat Variant,31.080 km,05/2021,Automatik,Hybrid (Elektro / Benzin),160 kW (218 PS),1l/100km,139g CO2/km (WLTP,28.689
Volkswagen,Golf Variant,106.940 km,12/2021,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,23.489
Audi,SONSTIGE,67.259 km,05/2021,Automatik,Hybrid (Elektro / Benzin),150 kW (204 PS),8l/100km,85g CO2/km (komb)*,27.489
BMW,SONSTIGE,61.230 km,03/2021,Automatik,Diesel,140 kW (190 PS),8l/100km,151g CO2/km (WLTP,40.189
Skoda,Karoq,26.259 km,01/2021,Automatik,Benzin,110 kW (150 PS),4l/100km,146g CO2/km (WLTP,29.289
Skoda,Karoq,51.676 km,12/2021,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,27.089
Volkswagen,T-Cross,42.243 km,10/2021,Automatik,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,24.889
Skoda,Octavia,112.369 km,02/2021,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,23.589
Audi,A4 Allroad,76.847 km,01/2021,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,37.189
Jaguar,E-Pace,31.092 km,11/2021,Automatik,Hybrid (Elektro / Benzin),227 kW (309 PS),4l/100km,32g CO2/km (komb)*,40.048
Volkswagen,Polo,53.083 km,06/2021,Automatik,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,19.589
Volkswagen,ID.3,30.333 km,07/2021,Automatik,Elektro,110 kW (150 PS),,0g CO2/km (komb)*,19.689
Volkswagen,T6 Caravelle,65.526 km,06/2021,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,43.589
Volkswagen,Passat,83.816 km,06/2021,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,30.189
Volkswagen,Golf,27.501 km,12/2021,Automatik,Benzin,180 kW (245 PS),8l/100km,185g CO2/km (komb)*,25.989
Volkswagen,Passat,28.515 km,07/2021,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,31.189
Ford,Fiesta,67.300 km,11/2021,Manuell,Benzin,55 kW (75 PS),7l/100km,129g CO2/km (WLTP,13.589
Renault,Twingo,15.940 km,07/2021,Automatik,Elektro,60 kW (82 PS),,0g CO2/km (WLTP,14.948
Seat,Ateca,45.750 km,03/2021,Automatik,Benzin,110 kW (150 PS),9l/100km,157g CO2/km (WLTP,28.689
Cupra,Leon,32.492 km,08/2021,Automatik,Benzin,180 kW (245 PS),8l/100km,185g CO2/km (komb)*,26.689
Cupra,Formentor,27.378 km,12/2021,Automatik,Benzin,180 kW (245 PS),8l/100km,185g CO2/km (komb)*,29.789
Seat,Ateca,28.997 km,12/2021,Manuell,Benzin,110 kW (150 PS),7l/100km,152g CO2/km (WLTP,26.689
Volkswagen,Passat,54.238 km,12/2021,Automatik,Diesel,147 kW (200 PS),6l/100km,157g CO2/km (WLTP,34.289
Skoda,Kodiaq,49.987 km,10/2021,Automatik,Diesel,147 kW (200 PS),5l/100km,171g CO2/km (WLTP,40.189
Volkswagen,Golf,52.586 km,08/2021,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,32.189
Volkswagen,Passat,31.271 km,12/2021,Automatik,Diesel,147 kW (200 PS),1l/100km,161g CO2/km (WLTP,36.089
Volkswagen,Passat,54.238 km,12/2021,Automatik,Diesel,147 kW (200 PS),6l/100km,157g CO2/km (WLTP,32.889
Opel,Astra,27.217 km,12/2021,Manuell,Benzin,81 kW (110 PS),2l/100km,118g CO2/km (WLTP,17.689
Skoda,Kamiq,54.670 km,08/2021,Automatik,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,23.989
Ford,Puma,24.050 km,02/2021,Manuell,Benzin,147 kW (200 PS),8l/100km,185g CO2/km (komb)*,27.089
Volkswagen,Polo,18.494 km,07/2021,Manuell,Benzin,70 kW (95 PS),3l/100km,120g CO2/km (WLTP,17.689
Skoda,Octavia,68.489 km,11/2021,Manuell,Diesel,110 kW (150 PS),4l/100km,116g CO2/km (WLTP,26.689
Volkswagen,Golf,92.767 km,07/2021,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,26.489
Ford,Kuga,29.485 km,07/2021,Automatik,Benzin,140 kW (190 PS),9l/100km,136g CO2/km (WLTP,31.289
Ford,Tourneo Custom,75.317 km,08/2021,Automatik,Diesel,136 kW (185 PS),4l/100km,221g CO2/km (WLTP,42.049
Ford,Tourneo Custom,73.991 km,07/2021,Automatik,Diesel,136 kW (185 PS),4l/100km,221g CO2/km (WLTP,42.049
Ford,Tourneo Custom,72.547 km,08/2021,Automatik,Diesel,136 kW (185 PS),4l/100km,221g CO2/km (WLTP,42.049
Volkswagen,ID.3,39.141 km,12/2021,Automatik,Elektro,150 kW (204 PS),,0g CO2/km (komb)*,22.989
Volkswagen,ID.3,37.845 km,11/2021,Automatik,Elektro,110 kW (150 PS),,0g CO2/km (komb)*,20.489
Skoda,Enyaq iV,21.654 km,09/2021,Automatik,Elektro,150 kW (204 PS),,0g CO2/km (komb)*,34.289
Ford,Bronco,25.000 km,12/2021,Automatik,Benzin,224 kW (305 PS),8l/100km,185g CO2/km (komb)*,66.989
Audi,Q5,116.594 km,12/2021,Automatik,Hybrid (Elektro / Benzin),270 kW (367 PS),8l/100km,85g CO2/km (komb)*,41.789
Ford,Tourneo Custom,72.547 km,09/2021,Automatik,Diesel,136 kW (185 PS),4l/100km,0g CO2/km (WLTP,41.249
Ford,Tourneo Custom,75.317 km,09/2021,Automatik,Diesel,136 kW (185 PS),4l/100km,0g CO2/km (WLTP,41.249
Volkswagen,SONSTIGE,84.463 km,05/2021,Automatik,Hybrid (Elektro / Benzin),160 kW (218 PS),8l/100km,85g CO2/km (komb)*,29.589
Volkswagen,SONSTIGE,95.932 km,07/2021,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,37.589
Ford,Tourneo Custom,73.991 km,08/2021,Automatik,Diesel,136 kW (185 PS),4l/100km,0g CO2/km (WLTP,41.249
Audi,SONSTIGE,52.353 km,09/2021,Automatik,Hybrid (Elektro / Benzin),270 kW (367 PS),8l/100km,85g CO2/km (komb)*,50.689
Opel,Corsa-e,17.529 km,04/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,17.689
Opel,Corsa-e,9.556 km,10/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.689
Opel,Corsa-e,19.040 km,06/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.689
Opel,Corsa-e,21.791 km,09/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,17.689
Opel,Corsa-e,26.364 km,08/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,17.689
Opel,Corsa-e,12.731 km,09/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.689
Opel,Corsa-e,22.241 km,09/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,17.689
Opel,Corsa-e,23.932 km,05/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.289
Opel,Mokka-e,1.397 km,10/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.689
Opel,Mokka-e,29.987 km,04/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,20.289
Opel,Corsa-e,8.211 km,05/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,19.289
Opel,Corsa-e,24.870 km,04/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,17.689
Opel,Mokka-e,18.243 km,07/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,16.689
Opel,Corsa-e,25.799 km,09/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.089
Audi,A6,123.988 km,07/2021,Automatik,Hybrid (Elektro / Benzin),195 kW (265 PS),8l/100km,85g CO2/km (komb)*,36.089
Cupra,Formentor,46.001 km,12/2021,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,28.489
Skoda,Octavia,31.270 km,08/2021,Manuell,Diesel,110 kW (150 PS),2l/100km,110g CO2/km (WLTP,27.689
Skoda,Octavia,40.600 km,03/2021,Automatik,Diesel,110 kW (150 PS),5l/100km,118g CO2/km (WLTP,28.689
Volkswagen,T6 Transporter,96.133 km,02/2021,Manuell,Diesel,81 kW (110 PS),7l/100km,186g CO2/km (komb)*,25.489
Volkswagen,SONSTIGE,52.050 km,01/2021,Manuell,Diesel,75 kW (102 PS),7l/100km,186g CO2/km (komb)*,21.489
Ford,Puma,83.500 km,11/2021,Manuell,Benzin,147 kW (200 PS),8l/100km,154g CO2/km (WLTP,22.989
