Brand,Model,Kilometers,BuildYear,Transmission,Fuel,Power,l/Km,Emission,CurrentPrice
Mercedes-Benz,CLA 220 Shooting Brake,96.000 km,10/2017,Automatik,Diesel,130 kW (177 PS),7l/100km,108g CO2/km (komb)*,23.455
Dacia,Lodgy,69.595 km,07/2017,Manuell,Benzin,85 kW (116 PS),8l/100km,185g CO2/km (komb)*,12.948
Volkswagen,T-Roc,96.418 km,11/2017,Automatik,Diesel,110 kW (150 PS),1l/100km,133g CO2/km (komb)*,24.948
Dacia,Duster,38.342 km,07/2017,Manuell,Benzin,92 kW (125 PS),8l/100km,185g CO2/km (komb)*,14.948
Renault,Megane,32.890 km,11/2017,Manuell,Benzin,97 kW (132 PS),8l/100km,120g CO2/km (komb)*,14.948
Dacia,Dokker,106.490 km,07/2017,Manuell,Benzin,85 kW (116 PS),8l/100km,130g CO2/km (komb)*,13.348
Mazda,2,16.572 km,12/2017,Manuell,Benzin,66 kW (90 PS),5l/100km,105g CO2/km (komb)*,16.548
Volkswagen,Passat,78.090 km,11/2017,Automatik,Benzin,162 kW (220 PS),8l/100km,148g CO2/km (komb)*,26.448
Nissan,Micra,44.800 km,09/2017,Manuell,Benzin,52 kW (71 PS),6l/100km,107g CO2/km (komb)*,11.548
Renault,Clio,117.135 km,08/2017,Manuell,Benzin,87 kW (118 PS),4l/100km,120g CO2/km (komb)*,11.048
Seat,Leon,75.073 km,11/2017,Manuell,Benzin,221 kW (301 PS),9l/100km,158g CO2/km (komb)*,21.248
Seat,Ibiza,57.348 km,08/2017,Manuell,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,12.549
Renault,Grand Scenic,81.000 km,12/2017,Manuell,Benzin,97 kW (132 PS),1l/100km,136g CO2/km (komb)*,15.048
Audi,TT,54.590 km,05/2017,Automatik,Benzin,132 kW (180 PS),0l/100km,0g CO2/km (WLTP,30.549
Volkswagen,Golf,58.374 km,10/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,17.949
Mercedes-Benz,SONSTIGE,148.484 km,04/2017,Automatik,Diesel,130 kW (177 PS),7l/100km,186g CO2/km (komb)*,36.049
Citroen,C1,118.730 km,05/2017,Manuell,Benzin,51 kW (69 PS),8l/100km,185g CO2/km (komb)*,7.948
Volkswagen,T6 SONSTIGE,145.400 km,04/2017,Manuell,Diesel,75 kW (102 PS),7l/100km,186g CO2/km (komb)*,18.349
Opel,Adam,51.540 km,05/2017,Manuell,Benzin,85 kW (116 PS),8l/100km,185g CO2/km (komb)*,13.448
Renault,Kadjar,87.914 km,04/2017,Automatik,Benzin,96 kW (131 PS),8l/100km,132g CO2/km (komb)*,15.948
Mazda,CX-3,111.000 km,12/2017,Manuell,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,16.049
Volkswagen,Golf,40.552 km,11/2017,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,21.049
Mini,Cooper S,89.799 km,07/2017,Manuell,Benzin,141 kW (192 PS),8l/100km,185g CO2/km (komb)*,16.949
Hyundai,i30,87.550 km,10/2017,Manuell,Benzin,74 kW (101 PS),8l/100km,185g CO2/km (komb)*,13.049
Volkswagen,Passat Variant,114.000 km,10/2017,Automatik,Diesel,176 kW (239 PS),7l/100km,186g CO2/km (komb)*,24.349
Hyundai,i10,83.264 km,09/2017,Manuell,Benzin,49 kW (67 PS),8l/100km,185g CO2/km (komb)*,8.949
Renault,Master,147.800 km,09/2017,Manuell,Diesel,96 kW (131 PS),7l/100km,186g CO2/km (komb)*,23.849
Peugeot,3008,59.000 km,08/2017,Automatik,Benzin,96 kW (131 PS),8l/100km,185g CO2/km (komb)*,18.048
Renault,Trafic,135.300 km,09/2017,Manuell,Diesel,89 kW (121 PS),7l/100km,186g CO2/km (komb)*,21.349
Volkswagen,Golf,74.500 km,10/2017,Automatik,Benzin,81 kW (110 PS),1l/100km,110g CO2/km (komb)*,18.490
Renault,Master,123.000 km,03/2017,Manuell,Diesel,92 kW (125 PS),0l/100km,0g CO2/km (WLTP,28.949
Opel,Movano,108.300 km,03/2017,Manuell,Diesel,96 kW (131 PS),0l/100km,0g CO2/km (WLTP,30.149
Opel,Corsa,63.127 km,05/2017,Automatik,Benzin,66 kW (90 PS),9l/100km,137g CO2/km (komb)*,14.549
Jeep,Renegade,96.313 km,08/2017,Manuell,Diesel,103 kW (140 PS),1l/100km,154g CO2/km (komb)*,16.949
Suzuki,Baleno,92.065 km,10/2017,Automatik,Benzin,82 kW (112 PS),7l/100km,0g CO2/km (WLTP,13.349
Ford,B-Max,112.095 km,04/2017,Automatik,Benzin,77 kW (105 PS),4l/100km,149g CO2/km (komb)*,13.549
Mazda,3,99.182 km,07/2017,Automatik,Benzin,88 kW (120 PS),6l/100km,129g CO2/km (komb)*,16.049
Peugeot,2008,76.850 km,05/2017,Manuell,Diesel,73 kW (99 PS),5l/100km,90g CO2/km (komb)*,11.549
Skoda,Rapid,104.000 km,05/2017,Automatik,Benzin,92 kW (125 PS),8l/100km,114g CO2/km (komb)*,15.049
Mazda,CX-3,55.600 km,08/2017,Manuell,Benzin,88 kW (120 PS),9l/100km,137g CO2/km (komb)*,16.749
Suzuki,Vitara,41.300 km,05/2017,Manuell,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,16.549
Skoda,Fabia,31.700 km,07/2017,Manuell,Benzin,55 kW (75 PS),8l/100km,109g CO2/km (komb)*,12.249
Smart,ForTwo,49.990 km,07/2017,Automatik,Benzin,66 kW (90 PS),5l/100km,114g CO2/km (komb)*,14.049
Fiat,Tipo,84.895 km,07/2017,Manuell,Diesel,88 kW (120 PS),7l/100km,98g CO2/km (komb)*,12.949
Volkswagen,Caddy,77.000 km,06/2017,Automatik,Diesel,75 kW (102 PS),7l/100km,186g CO2/km (komb)*,20.149
Mazda,CX-3,96.300 km,06/2017,Automatik,Benzin,110 kW (150 PS),8l/100km,146g CO2/km (komb)*,19.349
Volvo,XC60,92.800 km,06/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,119g CO2/km (komb)*,23.349
Alfa,Romeo Giulia,89.999 km,09/2017,Automatik,Benzin,147 kW (200 PS),9l/100km,194g CO2/km (komb)*,28.649
Mercedes-Benz,Sprinter,111.000 km,12/2017,Manuell,Diesel,105 kW (143 PS),3l/100km,190g CO2/km (komb)*,25.349
Volkswagen,Golf Sportsvan,64.380 km,05/2017,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,20.149
Ford,B-Max,21.300 km,12/2017,Manuell,Benzin,74 kW (101 PS),1l/100km,119g CO2/km (komb)*,12.349
Kia,Niro,35.434 km,05/2017,Automatik,Hybrid (Elektro / Benzin),104 kW (141 PS),4l/100km,101g CO2/km (komb)*,21.249
Ford,Transit Custom,123.000 km,11/2017,Manuell,Diesel,96 kW (131 PS),6l/100km,156g CO2/km (komb)*,23.349
Jaguar,F-Type,82.000 km,07/2017,Automatik,Benzin,405 kW (551 PS),8l/100km,268g CO2/km (komb)*,58.749
Audi,SQ7,137.366 km,06/2017,Automatik,Diesel,320 kW (435 PS),7l/100km,186g CO2/km (komb)*,49.949
Audi,SQ7,137.366 km,06/2017,Automatik,Diesel,320 kW (435 PS),7l/100km,186g CO2/km (komb)*,50.849
Volkswagen,Golf,85.000 km,09/2017,Manuell,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,19.649
Ford,Galaxy,99.400 km,03/2017,Manuell,Benzin,118 kW (160 PS),5l/100km,149g CO2/km (komb)*,20.749
Peugeot,3008,132.282 km,10/2017,Automatik,Benzin,121 kW (165 PS),8l/100km,136g CO2/km (komb)*,15.749
Ford,Focus,69.000 km,05/2017,Manuell,Benzin,74 kW (101 PS),6l/100km,105g CO2/km (komb)*,11.349
Skoda,Kodiaq,133.680 km,05/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,25.349
Mini,Cooper S Cabrio,69.000 km,04/2017,Manuell,Benzin,141 kW (192 PS),8l/100km,185g CO2/km (komb)*,21.249
Mercedes-Benz,B 220,92.000 km,09/2017,Automatik,Benzin,135 kW (184 PS),8l/100km,185g CO2/km (komb)*,20.749
Volkswagen,Golf,122.000 km,08/2017,Automatik,Benzin,169 kW (230 PS),3l/100km,145g CO2/km (komb)*,21.749
Ford,Focus,84.200 km,10/2017,Automatik,Benzin,134 kW (182 PS),1l/100km,140g CO2/km (komb)*,15.949
Porsche,Panamera,94.400 km,07/2017,Automatik,Hybrid (Elektro / Benzin),500 kW (680 PS),9l/100km,69g CO2/km (komb)*,98.049
Opel,Crossland X,67.380 km,11/2017,Manuell,Benzin,96 kW (131 PS),8l/100km,114g CO2/km (komb)*,14.649
Audi,Q2,136.670 km,08/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,25.149
Kia,Sportage,71.800 km,10/2017,Automatik,Benzin,130 kW (177 PS),8l/100km,185g CO2/km (komb)*,21.249
Toyota,RAV 4,87.436 km,08/2017,Automatik,Hybrid (Elektro / Benzin),145 kW (197 PS),9l/100km,115g CO2/km (komb)*,23.349
Mercedes-Benz,Citan,77.111 km,12/2017,Automatik,Benzin,84 kW (114 PS),8l/100km,185g CO2/km (komb)*,17.549
Volkswagen,Caddy,102.900 km,06/2017,Automatik,Benzin,92 kW (125 PS),7l/100km,130g CO2/km (komb)*,22.349
Jaguar,XF,119.500 km,11/2017,Automatik,Diesel,132 kW (180 PS),8l/100km,124g CO2/km (komb)*,25.349
Jaguar,XF,86.000 km,05/2017,Automatik,Diesel,132 kW (180 PS),3l/100km,114g CO2/km (komb)*,39.749
Skoda,Octavia,93.700 km,10/2017,Automatik,Diesel,135 kW (184 PS),7l/100km,186g CO2/km (komb)*,22.249
Mercedes-Benz,V 220,146.950 km,07/2017,Automatik,Diesel,120 kW (163 PS),7l/100km,186g CO2/km (komb)*,36.049
Honda,Civic,126.524 km,07/2017,Manuell,Benzin,95 kW (129 PS),1l/100km,117g CO2/km (komb)*,16.949
Citroen,C3,88.875 km,04/2017,Manuell,Benzin,81 kW (110 PS),6l/100km,0g CO2/km (WLTP,12.049
Nissan,Qashqai,74.000 km,07/2017,Manuell,Benzin,120 kW (163 PS),8l/100km,185g CO2/km (komb)*,19.849
Abarth,500,54.500 km,08/2017,Manuell,Benzin,118 kW (160 PS),0l/100km,0g CO2/km (WLTP,17.949
Peugeot,3008,54.362 km,08/2017,Automatik,Diesel,133 kW (180 PS),4l/100km,114g CO2/km (komb)*,24.849
Ford,Galaxy,112.179 km,11/2017,Automatik,Diesel,110 kW (150 PS),4l/100km,134g CO2/km (komb)*,25.449
Ford,Focus,67.935 km,11/2017,Automatik,Benzin,92 kW (125 PS),5l/100km,125g CO2/km (komb)*,16.949
Mini,ONE,67.000 km,12/2017,Manuell,Benzin,75 kW (102 PS),8l/100km,185g CO2/km (komb)*,13.849
Peugeot,208,88.600 km,04/2017,Manuell,Benzin,50 kW (68 PS),4l/100km,102g CO2/km (komb)*,9.449
Jaguar,F-Pace,62.000 km,07/2017,Automatik,Diesel,221 kW (301 PS),3l/100km,166g CO2/km (komb)*,35.449
Audi,A6 Allroad,95.417 km,08/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,28.549
Audi,A1,62.200 km,07/2017,Manuell,Benzin,70 kW (95 PS),8l/100km,102g CO2/km (komb)*,15.749
BMW,X1,109.839 km,11/2017,Manuell,Benzin,103 kW (140 PS),3l/100km,121g CO2/km (komb)*,18.049
Mercedes-Benz,Vito,106.376 km,07/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,50.849
Ford,Galaxy,111.877 km,11/2017,Automatik,Diesel,110 kW (150 PS),4l/100km,134g CO2/km (komb)*,24.649
Honda,CR-V,78.960 km,05/2017,Manuell,Benzin,114 kW (155 PS),2l/100km,168g CO2/km (komb)*,19.149
Mazda,CX-5,66.653 km,11/2017,Automatik,Benzin,143 kW (194 PS),8l/100km,162g CO2/km (komb)*,26.449
Seat,Alhambra,73.900 km,06/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,31.849
Ford,Kuga,65.500 km,10/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,17.449
Mercedes-Benz,E 200,42.395 km,06/2017,Automatik,Benzin,135 kW (184 PS),8l/100km,152g CO2/km (komb)*,30.749
Ford,Focus,136.600 km,06/2017,Manuell,Diesel,136 kW (185 PS),7l/100km,110g CO2/km (komb)*,15.849
Land Rover,Range Rover Evoque,35.000 km,08/2017,Automatik,Diesel,110 kW (150 PS),0l/100km,0g CO2/km (WLTP,31.749
Seat,Leon,60.000 km,04/2017,Manuell,Benzin,85 kW (116 PS),0l/100km,0g CO2/km (WLTP,16.449
Mazda,CX-3,86.897 km,12/2017,Manuell,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,16.949
Opel,Meriva,74.560 km,04/2017,Manuell,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,11.649
Seat,Leon,81.549 km,10/2017,Manuell,Benzin,110 kW (150 PS),0l/100km,0g CO2/km (WLTP,16.949
Opel,Crossland X,47.159 km,09/2017,Manuell,Benzin,81 kW (110 PS),9l/100km,109g CO2/km (komb)*,14.849
Mercedes-Benz,C 43 AMG,115.000 km,05/2017,Automatik,Benzin,270 kW (367 PS),8l/100km,178g CO2/km (komb)*,38.149
Ford,Focus,59.990 km,12/2017,Automatik,Benzin,92 kW (125 PS),8l/100km,185g CO2/km (komb)*,15.749
Ford,C-Max,137.000 km,05/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,139g CO2/km (komb)*,13.349
Land Rover,Range Rover Evoque,88.500 km,11/2017,Automatik,Diesel,132 kW (180 PS),7l/100km,186g CO2/km (komb)*,28.649
Skoda,Superb,109.600 km,10/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,21.249
Volkswagen,Caddy,80.000 km,12/2017,Manuell,Diesel,75 kW (102 PS),7l/100km,186g CO2/km (komb)*,17.049
Mazda,MX-5,65.900 km,08/2017,Manuell,Benzin,118 kW (160 PS),8l/100km,185g CO2/km (komb)*,20.949
Kia,Sportage,81.224 km,12/2017,Automatik,Benzin,130 kW (177 PS),8l/100km,185g CO2/km (komb)*,19.649
Seat,SONSTIGE,91.640 km,09/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,16.049
Opel,Corsa,34.100 km,09/2017,Automatik,Benzin,66 kW (90 PS),8l/100km,185g CO2/km (komb)*,13.049
Alfa,Romeo Stelvio,53.371 km,10/2017,Automatik,Benzin,206 kW (280 PS),0l/100km,0g CO2/km (WLTP,32.749
Volkswagen,Tiguan,72.850 km,11/2017,Manuell,Benzin,92 kW (125 PS),0l/100km,0g CO2/km (WLTP,20.076
Ford,Kuga,130.750 km,11/2017,Manuell,Diesel,110 kW (150 PS),7l/100km,135g CO2/km (komb)*,16.749
Renault,Megane,48.000 km,05/2017,Manuell,Benzin,74 kW (101 PS),0l/100km,0g CO2/km (WLTP,14.549
Volkswagen,Golf,90.000 km,05/2017,Manuell,Benzin,81 kW (110 PS),0l/100km,0g CO2/km (WLTP,14.449
Peugeot,Partner Tepee,138.000 km,06/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,14.049
Volkswagen,T6 Multivan,148.000 km,08/2017,Automatik,Diesel,150 kW (204 PS),7l/100km,186g CO2/km (komb)*,40.049
Opel,Insignia,135.000 km,12/2017,Automatik,Benzin,191 kW (260 PS),8l/100km,185g CO2/km (komb)*,21.049
Skoda,Octavia,92.000 km,10/2017,Automatik,Benzin,169 kW (230 PS),6l/100km,0g CO2/km (WLTP,23.649
Peugeot,308,48.670 km,07/2017,Manuell,Benzin,96 kW (131 PS),6l/100km,107g CO2/km (komb)*,16.949
Mercedes-Benz,G 350,45.350 km,11/2017,Automatik,Diesel,180 kW (245 PS),7l/100km,186g CO2/km (komb)*,92.149
Ford,S-Max,104.600 km,05/2017,Automatik,Diesel,132 kW (180 PS),4l/100km,129g CO2/km (komb)*,19.949
Kia,Soul,86.000 km,10/2017,Automatik,Elektro,81 kW (110 PS),,0g CO2/km (WLTP,14.749
Kia,Stonic,34.400 km,12/2017,Manuell,Benzin,62 kW (84 PS),8l/100km,118g CO2/km (komb)*,15.049
Mercedes-Benz,SONSTIGE,83.750 km,08/2017,Manuell,Benzin,90 kW (122 PS),8l/100km,185g CO2/km (komb)*,17.049
BMW,X5,53.100 km,12/2017,Automatik,Benzin,330 kW (449 PS),6l/100km,227g CO2/km (komb)*,49.349
Volkswagen,Golf Sportsvan,141.000 km,06/2017,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,12.649
Opel,Insignia,124.126 km,12/2017,Manuell,Benzin,121 kW (165 PS),6l/100km,136g CO2/km (komb)*,15.049
Ford,Focus,91.840 km,10/2017,Manuell,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,14.049
Opel,Corsa,78.500 km,12/2017,Manuell,Benzin,152 kW (207 PS),0l/100km,0g CO2/km (WLTP,17.349
Opel,Astra,31.000 km,06/2017,Halbautomatik,Benzin,77 kW (105 PS),8l/100km,185g CO2/km (komb)*,15.249
Ford,Fiesta,97.000 km,11/2017,Manuell,Benzin,63 kW (86 PS),8l/100km,185g CO2/km (komb)*,13.049
Mercedes-Benz,E 250,113.911 km,10/2017,Automatik,Benzin,155 kW (211 PS),2l/100km,138g CO2/km (komb)*,28.649
Volvo,XC90,146.300 km,07/2017,Automatik,Diesel,173 kW (235 PS),7l/100km,186g CO2/km (komb)*,30.749
Volkswagen,Passat Variant,87.800 km,11/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,123g CO2/km (komb)*,20.049
Volkswagen,Golf Sportsvan,89.694 km,05/2017,Manuell,Benzin,110 kW (150 PS),4l/100km,129g CO2/km (komb)*,14.949
Opel,Karl,88.900 km,12/2017,Automatik,Benzin,55 kW (75 PS),6l/100km,0g CO2/km (WLTP,12.549
Skoda,Rapid,55.200 km,11/2017,Manuell,Benzin,70 kW (95 PS),4l/100km,101g CO2/km (komb)*,13.649
Jeep,Grand Cherokee,130.300 km,11/2017,Automatik,Diesel,184 kW (250 PS),8l/100km,212g CO2/km (komb)*,31.849
Renault,Megane,99.500 km,08/2017,Manuell,Benzin,74 kW (101 PS),4l/100km,120g CO2/km (komb)*,12.149
Fiat,Tipo,99.500 km,05/2017,Manuell,Diesel,88 kW (120 PS),2l/100km,110g CO2/km (komb)*,11.149
Volkswagen,Golf,56.500 km,12/2017,Manuell,Benzin,96 kW (131 PS),8l/100km,110g CO2/km (komb)*,17.649
Audi,A6,39.913 km,11/2017,Automatik,Diesel,240 kW (326 PS),4l/100km,169g CO2/km (komb)*,47.749
Ford,Focus,78.688 km,04/2017,Manuell,Benzin,92 kW (125 PS),7l/100km,108g CO2/km (komb)*,12.449
Mazda,CX-3,83.603 km,10/2017,Automatik,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,17.549
Volkswagen,Golf,79.599 km,12/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,109g CO2/km (komb)*,13.949
BMW,1er M Coupe,112.940 km,05/2017,Manuell,Benzin,135 kW (184 PS),8l/100km,185g CO2/km (komb)*,18.049
Skoda,Fabia,15.000 km,11/2017,Manuell,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,13.549
Ford,Ranger,87.109 km,11/2017,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,31.749
Kia,Sorento,115.150 km,05/2017,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,26.149
Kia,Sorento,115.150 km,05/2017,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,25.249
Nissan,Micra,44.800 km,09/2017,Manuell,Benzin,52 kW (71 PS),6l/100km,107g CO2/km (komb)*,11.549
Volkswagen,up!,42.500 km,07/2017,Manuell,Benzin,55 kW (75 PS),1l/100km,96g CO2/km (komb)*,10.549
Ford,Focus,134.251 km,04/2017,Manuell,Diesel,88 kW (120 PS),7l/100km,186g CO2/km (komb)*,12.049
Porsche,Panamera,124.500 km,08/2017,Automatik,Benzin,340 kW (462 PS),8l/100km,185g CO2/km (komb)*,59.849
Citroen,DS3,104.000 km,06/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,8.649
Mercedes-Benz,E 63 AMG,106.000 km,04/2017,Automatik,Benzin,450 kW (612 PS),8l/100km,185g CO2/km (komb)*,62.949
Opel,Astra,127.000 km,04/2017,Manuell,Benzin,92 kW (125 PS),9l/100km,114g CO2/km (komb)*,10.949
Volkswagen,Polo,95.400 km,09/2017,Manuell,Benzin,44 kW (60 PS),8l/100km,114g CO2/km (komb)*,9.949
Porsche,991,48.000 km,05/2017,Automatik,Benzin,397 kW (540 PS),8l/100km,185g CO2/km (komb)*,141.449
Jeep,Grand Cherokee,105.505 km,05/2017,Automatik,Diesel,184 kW (250 PS),7l/100km,186g CO2/km (komb)*,26.549
Volkswagen,Tiguan,83.578 km,12/2017,Automatik,Benzin,132 kW (180 PS),2l/100km,166g CO2/km (komb)*,25.449
Porsche,Panamera,87.150 km,06/2017,Automatik,Diesel,310 kW (422 PS),7l/100km,186g CO2/km (komb)*,79.949
Ford,Transit Custom,137.000 km,12/2017,Manuell,Diesel,77 kW (105 PS),7l/100km,186g CO2/km (komb)*,21.249
Volvo,XC90,133.900 km,11/2017,Automatik,Diesel,173 kW (235 PS),6l/100km,158g CO2/km (komb)*,35.949
Ford,Fiesta,92.960 km,03/2017,Manuell,Benzin,59 kW (80 PS),0l/100km,0g CO2/km (WLTP,10.349
Volkswagen,Beetle,32.003 km,06/2017,Manuell,Benzin,77 kW (105 PS),1l/100km,124g CO2/km (komb)*,18.949
Porsche,Panamera,124.500 km,08/2017,Automatik,Hybrid (Elektro / Benzin),340 kW (462 PS),8l/100km,85g CO2/km (komb)*,60.849
Skoda,Superb,118.300 km,11/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,21.149
Mercedes-Benz,E 400,133.000 km,11/2017,Automatik,Benzin,245 kW (333 PS),8l/100km,180g CO2/km (komb)*,29.149
Renault,Clio,117.135 km,08/2017,Manuell,Benzin,87 kW (118 PS),4l/100km,120g CO2/km (komb)*,11.049
Ford,Ranger,148.731 km,08/2017,Automatik,Diesel,147 kW (200 PS),7l/100km,186g CO2/km (komb)*,30.649
Seat,Ibiza,77.318 km,10/2017,Manuell,Benzin,55 kW (75 PS),8l/100km,185g CO2/km (komb)*,11.749
Volkswagen,T6 SONSTIGE,128.500 km,04/2017,Automatik,Diesel,150 kW (204 PS),8l/100km,178g CO2/km (komb)*,35.049
Renault,ZOE,103.000 km,11/2017,Automatik,Elektro,68 kW (58 PS),,0g CO2/km (WLTP,9.249
Hyundai,Tucson,60.830 km,08/2017,Manuell,Benzin,97 kW (132 PS),8l/100km,185g CO2/km (komb)*,17.049
Dacia,Logan,83.000 km,12/2017,Manuell,Benzin,66 kW (90 PS),3l/100km,125g CO2/km (komb)*,12.549
Audi,Q5,93.093 km,11/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,138g CO2/km (komb)*,34.849
Citroen,C4 Cactus,81.010 km,09/2017,Manuell,Benzin,60 kW (82 PS),8l/100km,185g CO2/km (komb)*,9.849
Mercedes-Benz,GLC 350,82.131 km,11/2017,Automatik,Diesel,190 kW (258 PS),7l/100km,161g CO2/km (komb)*,35.449
Mercedes-Benz,V 250,106.376 km,07/2017,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,51.349
Nissan,Qashqai,74.000 km,07/2017,Manuell,Benzin,120 kW (163 PS),8l/100km,185g CO2/km (komb)*,21.149
Renault,ZOE,54.500 km,06/2017,Automatik,Elektro,43 kW (58 PS),,0g CO2/km (WLTP,10.149
Kia,Sportage,116.144 km,04/2017,Manuell,Diesel,100 kW (136 PS),7l/100km,186g CO2/km (komb)*,16.549
BMW,X6,56.835 km,08/2017,Automatik,Diesel,280 kW (381 PS),7l/100km,186g CO2/km (komb)*,52.449
Skoda,Yeti,126.700 km,10/2017,Automatik,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,12.049
Opel,Mokka X,37.500 km,11/2017,Manuell,Benzin,85 kW (116 PS),8l/100km,185g CO2/km (komb)*,15.049
Audi,A3,94.000 km,12/2017,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,21.149
Volkswagen,Tiguan,32.500 km,09/2017,Manuell,Benzin,92 kW (125 PS),8l/100km,185g CO2/km (komb)*,18.849
BMW,X1,101.500 km,04/2017,Automatik,Benzin,141 kW (192 PS),8l/100km,185g CO2/km (komb)*,19.049
Volkswagen,up!,113.000 km,07/2017,Manuell,Benzin,44 kW (60 PS),8l/100km,185g CO2/km (komb)*,7.749
Chevrolet,Camaro,25.112 km,08/2017,Automatik,Benzin,333 kW (453 PS),8l/100km,185g CO2/km (komb)*,54.449
Renault,ZOE,77.600 km,05/2017,Automatik,Elektro,43 kW (58 PS),,0g CO2/km (komb)*,9.849
Abarth,500,133.580 km,10/2017,Manuell,Benzin,118 kW (160 PS),8l/100km,185g CO2/km (komb)*,13.349
Volkswagen,T6 SONSTIGE,145.000 km,09/2017,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,21.149
Jeep,Renegade,44.910 km,07/2017,Manuell,Benzin,81 kW (110 PS),8l/100km,145g CO2/km (komb)*,15.449
Suzuki,SONSTIGE,42.950 km,06/2017,Automatik,Benzin,82 kW (112 PS),5l/100km,114g CO2/km (komb)*,15.349
Mercedes-Benz,SONSTIGE,140.786 km,09/2017,Automatik,Diesel,105 kW (143 PS),7l/100km,186g CO2/km (komb)*,24.349
Land Rover,Discovery Sport,98.250 km,05/2017,Automatik,Diesel,132 kW (180 PS),3l/100km,0g CO2/km (WLTP,24.349
Volkswagen,T6 SONSTIGE,89.500 km,12/2017,Manuell,Diesel,75 kW (102 PS),7l/100km,186g CO2/km (komb)*,23.249
Ford,C-Max,79.631 km,11/2017,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,15.949
Opel,Vivaro,86.900 km,07/2017,Manuell,Diesel,89 kW (121 PS),7l/100km,186g CO2/km (komb)*,14.849
Chevrolet,Camaro,3.103 km,06/2017,Automatik,Benzin,333 kW (453 PS),1l/100km,252g CO2/km (komb)*,63.549
Mercedes-Benz,E 300,45.824 km,11/2017,Automatik,Benzin,180 kW (245 PS),8l/100km,147g CO2/km (komb)*,46.549
Volkswagen,T6 Multivan,113.270 km,06/2017,Automatik,Diesel,150 kW (204 PS),7l/100km,186g CO2/km (komb)*,45.149
Mercedes-Benz,GLA 250,59.801 km,06/2017,Automatik,Benzin,155 kW (211 PS),8l/100km,185g CO2/km (komb)*,29.649
Porsche,991,61.900 km,05/2017,Automatik,Benzin,331 kW (450 PS),8l/100km,185g CO2/km (komb)*,124.349
Honda,Jazz,81.500 km,12/2017,Manuell,Benzin,75 kW (102 PS),5l/100km,116g CO2/km (komb)*,13.049
BMW,630 Gran Turismo,143.000 km,12/2017,Automatik,Diesel,195 kW (265 PS),9l/100km,129g CO2/km (komb)*,38.149
Mini,Cooper S Clubman,100.000 km,09/2017,Automatik,Benzin,141 kW (192 PS),9l/100km,163g CO2/km (komb)*,19.449
Ford,B-Max,63.437 km,07/2017,Manuell,Benzin,74 kW (101 PS),8l/100km,185g CO2/km (komb)*,11.849
Mercedes-Benz,C 63 AMG,49.612 km,07/2017,Automatik,Benzin,375 kW (510 PS),8l/100km,208g CO2/km (komb)*,83.149
