Unnamed: 0.1;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;car_age
19;19;Renault;Kadjar;1-4-2017;15.948;;87914.0;Automatik;Benzin;8.0;132.0;131.0;0.0001814045544509407;14.16;2619.6;2442.0;False;Auto.de;798.631.074.606.434
20;20;Mazda;CX-3;1-12-2017;16.049;;111000.0;Schaltgetriebe;Benzin;8.0;185.0;120.0;0.00014458558558558558;14.16;2619.6;3422.5;False;Auto.de;7.318.275.154.004.100
21;21;Volkswagen;Golf;1-11-2017;21.049;;40552.0;Automatik;Benzin;8.0;185.0;150.0;0.0005190619451568356;14.16;2619.6;3422.5;False;Auto.de;740.041.067.761.807
22;22;Mini;Cooper S;1-7-2017;16.949;;89799.0;Schaltgetriebe;Benzin;8.0;185.0;192.0;0.00018874374993040015;14.16;2619.6;3422.5;False;Auto.de;7.737.166.324.435.310
23;23;Hyundai;i30;1-10-2017;13.049;;87550.0;Schaltgetriebe;Benzin;8.0;185.0;101.0;0.0001490462592804112;14.16;2619.6;3422.5;False;Auto.de;7.485.284.052.019.160
24;24;Volkswagen;Passat Variant;1-10-2017;24.349;;114000.0;Automatik;Diesel;7.0;186.0;239.0;0.0002135877192982456;12.39;2292.15;3441.0;False;Auto.de;7.485.284.052.019.160
25;25;Hyundai;i10;1-9-2017;8.949;;83264.0;Schaltgetriebe;Benzin;8.0;185.0;67.0;0.00010747742121445042;14.16;2619.6;3422.5;False;Auto.de;7.567.419.575.633.120
26;26;Renault;Master;1-9-2017;23.849;;147800.0;Schaltgetriebe;Diesel;7.0;186.0;131.0;0.0001613599458728011;12.39;2292.15;3441.0;False;Auto.de;7.567.419.575.633.120
27;27;Peugeot;3008;1-8-2017;18.048;;59000.0;Automatik;Benzin;8.0;185.0;131.0;0.00030589830508474575;14.16;2619.6;3422.5;False;Auto.de;7.652.292.950.034.220
28;28;Renault;Trafic;1-9-2017;21.349;;135300.0;Schaltgetriebe;Diesel;7.0;186.0;121.0;0.000157790096082779;12.39;2292.15;3441.0;False;Auto.de;7.567.419.575.633.120
